Model,Feature Category,Measure,Mean,95% CI Error
GCN,PDC,AUC_errors,1.0,0.0
GCN,PDC,Acc_errors,0.999,0.0
GCN,PDC,Spec_errors,0.999,0.001
GCN,PDC,Sens_errors,1.0,0.0
GCN,PLV,AUC_errors,1.0,0.0
GCN,PLV,Acc_errors,0.998,0.001
GCN,PLV,Spec_errors,0.999,0.001
GCN,PLV,Sens_errors,1.0,0.0
GCN,COH,AUC_errors,1.0,0.0
GCN,COH,Acc_errors,0.999,0.0
GCN,COH,Spec_errors,1.0,0.0
GCN,COH,Sens_errors,1.0,0.0
GCN,iCOH,AUC_errors,1.0,0.0
GCN,iCOH,Acc_errors,0.996,0.001
GCN,iCOH,Spec_errors,0.999,0.001
GCN,iCOH,Sens_errors,1.0,0.0
GCN,Spectral Granger,AUC_errors,1.0,0.0
GCN,Spectral Granger,Acc_errors,0.999,0.0
GCN,Spectral Granger,Spec_errors,1.0,0.0
GCN,Spectral Granger,Sens_errors,1.0,0.001
CNN,PDC,AUC_errors,0.988,0.003
CNN,PDC,Acc_errors,0.96,0.002
CNN,PDC,Spec_errors,0.99,0.003
CNN,PDC,Sens_errors,0.989,0.003
CNN,PLV,AUC_errors,0.542,0.006
CNN,PLV,Acc_errors,0.222,0.004
CNN,PLV,Spec_errors,0.524,0.018
CNN,PLV,Sens_errors,0.535,0.017
CNN,COH,AUC_errors,0.538,0.006
CNN,COH,Acc_errors,0.218,0.004
CNN,COH,Spec_errors,0.563,0.017
CNN,COH,Sens_errors,0.525,0.017
CNN,iCOH,AUC_errors,0.994,0.001
CNN,iCOH,Acc_errors,0.961,0.002
CNN,iCOH,Spec_errors,0.988,0.003
CNN,iCOH,Sens_errors,0.991,0.003
CNN,Spectral Granger,AUC_errors,0.992,0.002
CNN,Spectral Granger,Acc_errors,0.962,0.002
CNN,Spectral Granger,Spec_errors,0.992,0.002
CNN,Spectral Granger,Sens_errors,0.989,0.003
MLP,PDC,AUC_errors,0.878,0.005
MLP,PDC,Acc_errors,0.649,0.007
MLP,PDC,Spec_errors,0.861,0.009
MLP,PDC,Sens_errors,0.872,0.009
MLP,PLV,AUC_errors,0.519,0.006
MLP,PLV,Acc_errors,0.209,0.003
MLP,PLV,Spec_errors,0.463,0.016
MLP,PLV,Sens_errors,0.478,0.016
MLP,COH,AUC_errors,0.505,0.006
MLP,COH,Acc_errors,0.214,0.004
MLP,COH,Spec_errors,0.45,0.017
MLP,COH,Sens_errors,0.504,0.017
MLP,iCOH,AUC_errors,0.982,0.003
MLP,iCOH,Acc_errors,0.962,0.002
